scope,day,colour_id,count
tile,10,C06,0
tile,10,C07,0
tile,10,C08,0
tile,10,C09,81
tile,10,C10,0
tile,10,C11,0
tile,10,C12,0
tile,11,C00,4
tile,11,C01,0
tile,11,C02,0
tile,11,C03,0
tile,11,C04,1
tile,11,C05,0
tile,11,C06,1
tile,11,C07,19
tile,11,C08,4
tile,11,C09,52
tile,11,C10,0
tile,11,C11,0
tile,11,C12,0
tile,12,C00,12
tile,12,C01,7
tile,12,C02,0
tile,12,C03,2
tile,12,C04,1
tile,12,C05,0
tile,12,C06,0
tile,12,C07,41
tile,12,C08,16
tile,12,C09,0
tile,12,C10,0
tile,12,C11,2
tile,12,C12,0
tile,13,C00,6
tile,13,C01,0
tile,13,C02,0
tile,13,C03,0
tile,13,C04,8
tile,13,C05,0
tile,13,C06,1
tile,13,C07,20
tile,13,C08,3
tile,13,C09,41
tile,13,C10,0
tile,13,C11,2
tile,13,C12,0
tile,14,C00,9
tile,14,C01,1
tile,14,C02,0
tile,14,C03,2
tile,14,C04,1
tile,14,C05,0
tile,14,C06,0
tile,14,C07,0
tile,14,C08,0
tile,14,C09,65
tile,14,C10,1
tile,14,C11,0
tile,14,C12,2
tile,15,C00,5
tile,15,C01,0
tile,15,C02,0
tile,15,C03,1
tile,15,C04,0
tile,15,C05,0
tile,15,C06,0
tile,15,C07,0
tile,15,C08,0
tile,15,C09,67
tile,15,C10,3
tile,15,C11,4
tile,15,C12,1
tile,16,C00,12
tile,16,C01,0
tile,16,C02,5
tile,16,C03,1
tile,16,C04,0
tile,16,C05,0
tile,16,C06,0
tile,16,C07,24
tile,16,C08,9
tile,16,C09,26
tile,16,C10,4
tile,16,C11,0
tile,16,C12,0
tile,17,C00,14
tile,17,C01,0
tile,17,C02,3
tile,17,C03,1
tile,17,C04,0
tile,17,C05,0
tile,17,C06,1
tile,17,C07,45
tile,17,C08,14
tile,17,C09,0
tile,17,C10,3
tile,17,C11,0
tile,17,C12,0
tile,18,C00,9
tile,18,C01,0
tile,18,C02,0
tile,18,C03,2
tile,18,C04,0
tile,18,C05,0
tile,18,C06,6
tile,18,C07,35
tile,18,C08,13
tile,18,C09,13
tile,18,C10,0
tile,18,C11,0
tile,18,C12,3
tile,19,C00,11
tile,19,C01,38
tile,19,C02,1
tile,19,C03,7
tile,19,C04,8
tile,19,C05,1
tile,19,C06,0
tile,19,C07,0
tile,19,C08,2
tile,19,C09,0
tile,19,C10,0
tile,19,C11,0
tile,19,C12,13
tile,20,C00,11
tile,20,C01,16
tile,20,C02,0
tile,20,C03,6
tile,20,C04,0
tile,20,C05,0
tile,20,C06,0
tile,20,C07,0
tile,20,C08,2
tile,20,C09,13
tile,20,C10,2
tile,20,C11,14
tile,20,C12,17
tile,21,C00,61
tile,21,C01,0
tile,21,C02,0
tile,21,C03,1
tile,21,C04,0
tile,21,C05,0
tile,21,C06,0
tile,21,C07,12
tile,21,C08,7
tile,21,C09,0
tile,21,C10,0
tile,21,C11,0
tile,21,C12,0
tile,22,C00,38
tile,22,C01,0
tile,22,C02,4
tile,22,C03,3
tile,22,C04,0
tile,22,C05,0
tile,22,C06,1
tile,22,C07,18
tile,22,C08,5
tile,22,C09,0
tile,22,C10,0
tile,22,C11,12
tile,22,C12,0
tile,23,C00,57
tile,23,C01,0
tile,23,C02,0
tile,23,C03,0
tile,23,C04,0
tile,23,C05,0
tile,23,C06,5
tile,23,C07,10
tile,23,C08,9
tile,23,C09,0
tile,23,C10,0
tile,23,C11,0
tile,23,C12,0
tile,24,C00,81
tile,24,C01,0
tile,24,C02,0
tile,24,C03,0
tile,24,C04,0
tile,24,C05,0
tile,24,C06,0
tile,24,C07,0
tile,24,C08,0
tile,24,C09,0
tile,24,C10,0
tile,24,C11,0
tile,24,C12,0
tile,25,C00,81
tile,25,C01,0
tile,25,C02,0
tile,25,C03,0
tile,25,C04,0
tile,25,C05,0
tile,25,C06,0
tile,25,C07,0
tile,25,C08,0
tile,25,C09,0
tile,25,C10,0
tile,25,C11,0
tile,25,C12,0
