scope,day,colour_id,count
tile,17,C09,1
tile,17,C10,0
tile,17,C11,3
tile,17,C12,0
tile,18,C00,5
tile,18,C01,2
tile,18,C02,9
tile,18,C03,15
tile,18,C04,25
tile,18,C05,7
tile,18,C06,0
tile,18,C07,1
tile,18,C08,9
tile,18,C09,1
tile,18,C10,1
tile,18,C11,4
tile,18,C12,2
tile,19,C00,9
tile,19,C01,0
tile,19,C02,0
tile,19,C03,6
tile,19,C04,0
tile,19,C05,2
tile,19,C06,5
tile,19,C07,2
tile,19,C08,40
tile,19,C09,10
tile,19,C10,0
tile,19,C11,0
tile,19,C12,7
tile,20,C00,23
tile,20,C01,0
tile,20,C02,3
tile,20,C03,25
tile,20,C04,0
tile,20,C05,0
tile,20,C06,4
tile,20,C07,2
tile,20,C08,17
tile,20,C09,7
tile,20,C10,0
tile,20,C11,0
tile,20,C12,0
tile,21,C00,77
tile,21,C01,0
tile,21,C02,0
tile,21,C03,0
tile,21,C04,0
tile,21,C05,0
tile,21,C06,0
tile,21,C07,0
tile,21,C08,0
tile,21,C09,0
tile,21,C10,0
tile,21,C11,4
tile,21,C12,0
tile,22,C00,54
tile,22,C01,0
tile,22,C02,0
tile,22,C03,0
tile,22,C04,0
tile,22,C05,0
tile,22,C06,0
tile,22,C07,0
tile,22,C08,0
tile,22,C09,9
tile,22,C10,0
tile,22,C11,6
tile,22,C12,12
tile,23,C00,77
tile,23,C01,0
tile,23,C02,0
tile,23,C03,0
tile,23,C04,0
tile,23,C05,0
tile,23,C06,0
tile,23,C07,0
tile,23,C08,0
tile,23,C09,1
tile,23,C10,0
tile,23,C11,3
tile,23,C12,0
tile,24,C00,81
tile,24,C01,0
tile,24,C02,0
tile,24,C03,0
tile,24,C04,0
tile,24,C05,0
tile,24,C06,0
tile,24,C07,0
tile,24,C08,0
tile,24,C09,0
tile,24,C10,0
tile,24,C11,0
tile,24,C12,0
tile,25,C00,81
tile,25,C01,0
tile,25,C02,0
tile,25,C03,0
tile,25,C04,0
tile,25,C05,0
tile,25,C06,0
tile,25,C07,0
tile,25,C08,0
tile,25,C09,0
tile,25,C10,0
tile,25,C11,0
tile,25,C12,0
